Year,CHAMPION,RUNNER UP,THIRD PLACE,HOST,TEAMS,MATCHES,GOALS
2022,Argentina,France,Croatia,Qatar,32,64,172
2018,France,Croatia,Belgium,Russia,32,64,169
2014,Germany,Argentina,Netherlands,Brazil,32,64,171
2010,Spain,Netherlands,Germany,South Africa,32,64,145
2006,Italy,France,Germany,Germany,32,64,147
2002,Brazil,Germany,Turkey,"South Korea, Japan",32,64,161
1998,France,Brazil,Croatia,France,32,64,171
1994,Brazil,Italy,Sweden,United States,24,52,141
1990,Germany,Argentina,Italy,Italy,24,52,115
1986,Argentina,Germany,France,Mexico,24,52,132
1982,Italy,Germany,Poland,Spain,24,52,146
1978,Argentina,Netherlands,Brazil,Argentina,16,38,102
1974,Germany,Netherlands,Poland,West Germany,16,38,97
1970,Brazil,Italy,Germany,Mexico,16,32,95
1966,England,Germany,Portugal,England,16,32,89
1962,Brazil,Czechia,Chile,Chile,16,32,89
1958,Brazil,Sweden,France,Sweden,16,35,126
1954,Germany,Hungary,Austria,Switzerland,16,26,140
1950,Uruguay,Brazil,Sweden,Brazil,13,22,88
1938,Italy,Hungary,Brazil,France,15,18,84
1934,Italy,Czechia,Germany,Italy,16,17,70
1930,Uruguay,Argentina,United States,Uruguay,13,16,70
